SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
107,MERLIN,まーりん,REDALiCE,180.0,712,Hikari,Groove Coaster,1.09,8.7,8.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/MERLIN/::ref/MERLIN.jpg.webp,1,0,True
113,虚空の夢,こくうのゆめ,ak+q feat.Sennzai,162.0,972,Hikari,Eternal Core,1.09,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Solitary Dream_ja/::ref/Solitary Dream_ja.jpg.webp,1,0,False
114,Grimheart,ぐりむはーと,Puru,170.0,959,Hikari,Arcaea,2.0,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Grimheart/::ref/Grimheart.jpg.webp,1,0,False
116,Antithese,あんちてーぜ,Blacklolita,172.0,877,Tairitsu,Absolute Reason,2.0,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Antithese/::ref/Antithese.jpg.webp,1,0,False
128,Particle Arts,ぱーてぃくるあーつ,Virtual Self,175.0,925,Tairitsu,Adverse Prelude,2.02,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Particle Arts/::ref/Particle Arts.jpg.webp,-1,0,True
132,Chelsea,ちぇるしー,7mai,174.0,650,Hikari,Sunset Radiance,2.03,8.7,8.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Chelsea/::ref/Chelsea.jpg.webp,1,0,False
143,Senkyou,せんきょう,MYTK,90.0,964,Hikari,Arcaea,2.04,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Senkyou/::ref/Senkyou.jpg.webp,0,1,False
163,Vivid Theory,びびっとせおりー,ak+q,178.0,885,Hikari,Extend Archive,3.0,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Vivid Theory/::ref/Vivid Theory.jpg.webp,1,0,True
166,Give Me a Nightmare,ぎぶみーあないとまーれ,アリスシャッハと魔法の楽団,190.0,948,Tairitsu,Extend Archive,3.0,8.7,8.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Give Me a Nightmare/::ref/Give Me a Nightmare.jpg.webp,0,1,False
197,Beside You,びさいどゆー,江口孝宏,181.0,703,Hikari,Ephemeral Page,3.03,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Beside You/::ref/Beside You.jpg.webp,0,1,False
219,Paper Witch,ぺーぱーうぃっち,Yu-dachi,130.0,793,Hikari,Esoteric Order,3.06,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Paper Witch/::ref/Paper Witch.jpg.webp,1,0,False
241,Quon,わっかくおん,DJ Noriken,170.0,749,Tairitsu,WACCA,3.08,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Quon_WACCA/::ref/Quon_WACCA.jpg.webp,-1,0,True
256,Cosmica,こずみか,Nhato,110.0,773,Tairitsu,Binary Enfold,3.09,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Cosmica/::ref/Cosmica.jpg.webp,0,1,False
270,Lights of Muse,らいつおぶみゅーず,Ayaytsugu_Otowa,180.0,580,Hikari,Muse Dash,3.11,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Lights of Muse/::ref/Lights of Muse.jpg.webp,0,1,False
326,だいあるのーと,だいあるのーと,七草くりむ,130.0,684,Hikari,Arcaea,4.01,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Dialnote/::ref/Dialnote.jpg.webp,1,0,False
329,月に叢雲華に風,つきにむらくも,幽閉サテライト,160.0,740,Tairitsu,World Extend,4.02,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Tsuki ni Murakumo/::ref/Tsuki ni Murakumo.jpg.webp,1,0,False
339,CYCLES,さいくるず,Masayoshi Minoshima feat. 綾倉盟,135.0,695,Hikari,maimai,4.03,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/CYCLES/::ref/CYCLES.jpg,0,1,False
346,コスモポップファンクラブ,こすもぽっぷふぁんくらぶ,ナユタン星人,129.0,809,Hikari,CHUNITHM,4.04,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Cosmo Pop Funclub/::ref/Cosmo Pop Funclub.jpg.webp,1,0,False
376,WAIT FOR DAWN,うぇいとふぉーだうん,U-ske feat. 棗いつき,188.0,861,Hikari,Lasting Eden,4.07,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/WAIT FOR DAWN/::ref/WAIT FOR DAWN.jpg.webp,0,1,False
418,クロートーと星の観測者,,しーけー,230.0,1031,Hikari,Arcaea,5.04,,,8.7,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Clotho and the stargazer/::ref/Clotho and the stargazer.jpg.webp,1,0,False
419,Suomi,,Aire,125.0,732,Hikari,Arcaea,5.04,,,8.7,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Suomi/::ref/Suomi.jpg.webp,-1,0,True
424,IONOSTREAM,,Tatsh,254.0,818,Tairitsu,Memory Archive,5.04,8.7,,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/IONOSTREAM/::ref/IONOSTREAM.jpg.webp,1,0,True
